"Device Name","WEATHER - 2719569"
"Device Model","5500L"
"Serial Number","2719569"
"FORMATTED DATE_TIME","Temperature","Wet Bulb Temp","Relative Humidity","Barometric Pressure","Altitude","Station Pressure","Wind Speed","Heat Index","Dew Point","Density Altitude","Crosswind","Headwind","Compass Magnetic Direction","Compass True Direction","Wind Chill","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","°C","%","mb","m","mb","km/h","°C","°C","m","km/h","km/h","Deg","Deg","°C"
"2023-06-14 02:04:00 p. m.","22,5","14,0","41,2","883,5","1138","883,6","8,0","21,5","8,6","1708","0,7","-7,9","185","185","22,4","session","Session - 14 jun. 2023_3:01:13 p. m.","14 jun. 2023 / 2:03:58 p. m.","00:57:15","","","",""
"2023-06-14 02:04:30 p. m.","21,9","13,3","39,9","883,5","1137","883,6","10,7","20,9","7,7","1686","0,5","-10,7","182","182","21,8","session"
"2023-06-14 02:05:00 p. m.","21,8","13,2","39,5","883,7","1137","883,7","10,7","20,9","7,5","1682","0,9","-10,7","184","185","21,8","session"
"2023-06-14 02:05:30 p. m.","21,3","12,9","40,5","883,5","1138","883,6","6,6","20,2","7,3","1665","0,7","-6,5","186","186","21,2","session"
"2023-06-14 02:06:00 p. m.","21,7","13,2","40,5","883,5","1137","883,6","13,2","20,8","7,7","1680","1,4","-13,1","186","187","21,7","session"
"2023-06-14 02:06:30 p. m.","21,5","13,0","39,8","883,5","1138","883,6","10,9","20,7","7,3","1673","1,1","-10,9","185","186","21,5","session"
"2023-06-14 02:07:00 p. m.","22,6","13,8","39,2","883,5","1138","883,5","9,4","21,6","8,1","1713","1,0","-9,3","185","185","22,6","session"
"2023-06-14 02:07:30 p. m.","23,0","13,9","38,5","883,5","1139","883,5","9,2","21,8","8,1","1725","0,6","-9,2","183","183","22,9","session"
"2023-06-14 02:08:00 p. m.","21,8","13,0","38,3","883,5","1138","883,6","8,9","20,8","7,0","1681","0,0","-8,9","179","180","21,8","session"
"2023-06-14 02:08:30 p. m.","21,5","12,9","39,1","883,5","1138","883,6","8,5","20,5","7,0","1669","0,1","-8,4","179","179","21,4","session"
"2023-06-14 02:09:00 p. m.","22,3","13,5","39,5","883,5","1138","883,6","10,9","21,2","7,8","1700","0,6","-10,9","182","182","22,2","session"
"2023-06-14 02:09:30 p. m.","21,1","12,5","38,8","883,5","1138","883,5","11,5","19,9","6,5","1656","0,8","-11,5","184","184","21,0","session"
"2023-06-14 02:10:00 p. m.","22,0","13,4","40,0","883,5","1138","883,6","10,6","21,0","7,7","1689","0,6","-10,6","180","181","21,9","session"
"2023-06-14 02:10:30 p. m.","21,2","12,7","39,5","883,5","1138","883,5","9,2","20,1","6,8","1660","0,4","-9,2","180","180","21,1","session"
"2023-06-14 02:11:00 p. m.","20,8","12,5","39,8","883,5","1138","883,6","16,2","19,6","6,7","1647","1,7","-16,2","186","186","20,8","session"
"2023-06-14 02:11:30 p. m.","21,2","12,9","40,4","883,5","1138","883,6","13,2","20,1","7,2","1659","0,8","-13,2","183","183","21,1","session"
"2023-06-14 02:12:00 p. m.","20,8","12,6","40,6","883,5","1138","883,6","8,7","19,5","6,9","1646","0,6","-8,6","184","184","20,7","session"
"2023-06-14 02:12:30 p. m.","21,1","13,0","41,4","883,5","1138","883,5","8,5","20,2","7,5","1660","0,4","-8,5","183","183","21,1","session"
"2023-06-14 02:13:00 p. m.","21,6","13,3","41,4","883,5","1138","883,5","5,7","20,8","7,9","1676","0,4","-5,7","183","184","21,5","session"
"2023-06-14 02:13:30 p. m.","22,2","13,6","40,5","883,5","1138","883,6","14,9","21,2","8,1","1698","1,2","-14,9","184","185","22,1","session"
"2023-06-14 02:14:00 p. m.","20,9","12,5","39,6","883,5","1138","883,5","10,5","19,6","6,7","1649","1,1","-10,4","186","187","20,8","session"
"2023-06-14 02:14:30 p. m.","22,1","13,5","40,1","883,5","1138","883,5","8,1","21,2","7,9","1696","0,6","-8,1","184","184","22,1","session"
"2023-06-14 02:15:00 p. m.","21,2","12,7","39,6","883,5","1138","883,6","11,6","20,1","6,9","1660","0,2","-11,6","180","181","21,1","session"
"2023-06-14 02:15:30 p. m.","22,0","13,5","40,4","883,5","1138","883,5","14,4","21,0","7,9","1689","0,9","-14,4","183","183","21,9","session"
"2023-06-14 02:16:00 p. m.","21,9","13,3","39,4","883,5","1138","883,6","10,7","21,0","7,5","1687","0,7","-10,7","184","185","21,9","session"
"2023-06-14 02:16:30 p. m.","22,0","13,3","39,4","883,5","1138","883,6","9,8","21,1","7,6","1690","0,2","-9,8","181","181","22,0","session"
"2023-06-14 02:17:00 p. m.","21,1","12,6","39,6","883,5","1138","883,5","7,0","19,9","6,8","1658","0,5","-6,9","184","184","21,0","session"
"2023-06-14 02:17:30 p. m.","20,0","11,9","40,2","883,5","1138","883,5","6,9","18,3","6,0","1616","0,3","-6,9","181","182","19,9","session"
"2023-06-14 02:18:00 p. m.","23,0","14,4","41,5","883,5","1138","883,6","7,9","21,9","9,2","1727","0,0","-7,9","181","181","22,9","session"
"2023-06-14 02:18:30 p. m.","22,0","13,3","39,5","883,5","1138","883,5","13,3","21,1","7,6","1692","1,2","-13,2","184","185","22,0","session"
"2023-06-14 02:19:00 p. m.","22,2","13,5","39,5","883,4","1139","883,4","11,4","21,2","7,8","1698","1,2","-11,3","186","186","22,1","session"
"2023-06-14 02:19:30 p. m.","21,6","13,0","39,5","883,5","1138","883,5","10,2","20,7","7,2","1674","0,7","-10,2","183","184","21,5","session"
"2023-06-14 02:20:00 p. m.","22,4","13,6","39,4","883,5","1138","883,5","15,0","21,3","7,9","1703","2,1","-14,8","187","188","22,3","session"
"2023-06-14 02:20:30 p. m.","22,6","13,7","39,0","883,5","1138","883,5","9,4","21,5","7,9","1711","1,1","-9,4","187","187","22,5","session"
"2023-06-14 02:21:00 p. m.","21,6","12,9","38,8","883,5","1138","883,5","7,6","20,7","7,0","1674","0,3","-7,6","182","182","21,5","session"
"2023-06-14 02:21:30 p. m.","21,5","13,0","39,6","883,5","1138","883,5","6,3","20,7","7,2","1674","0,1","-6,3","180","180","21,5","session"
"2023-06-14 02:22:00 p. m.","20,3","12,0","39,6","883,5","1138","883,5","6,9","18,7","6,1","1627","0,4","-6,9","183","184","20,2","session"
"2023-06-14 02:22:30 p. m.","21,1","12,8","40,9","883,5","1139","883,5","9,1","20,2","7,3","1660","0,1","-9,1","179","179","21,1","session"
